
  =-------------------------------------------------------------------------------=

                                 Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  manifold  Hubbard U (eV)
         1        1   Ti       1      1         Ti         3d       4.2245
         2        1   Ti       1      1         Ti         3d       4.2245

  =-------------------------------------------------------------------------------=


          chi0 matrix :
   -0.014845   -0.047813   -0.014845   -1.973273   -0.014845   -0.006029   -0.014845   -0.004238
   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845   -0.005177   -0.014845   -0.005599

   -0.004238   -0.014845   -0.006029   -0.014845   -1.973273   -0.014845   -0.047813   -0.014845
   -0.005599   -0.014845   -0.005177   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845

   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845   -1.973273   -0.014845   -0.047813
   -0.014845   -0.005599   -0.014845   -0.005177   -0.014845   -0.004238   -0.014845   -0.006029

   -0.006029   -0.014845   -0.004238   -0.014845   -0.047813   -0.014845   -1.973273   -0.014845
   -0.005177   -0.014845   -0.005599   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845

   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845   -0.047813   -0.014845   -1.973273
   -0.014845   -0.005177   -0.014845   -0.005599   -0.014845   -0.006029   -0.014845   -0.004238

   -0.004238   -0.014845   -0.006029   -0.014845   -0.005599   -0.014845   -0.005177   -0.014845
   -1.973273   -0.014845   -0.047813   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845

   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845   -0.005599   -0.014845   -0.005177
   -0.014845   -1.973273   -0.014845   -0.047813   -0.014845   -0.004238   -0.014845   -0.006029

   -0.006029   -0.014845   -0.004238   -0.014845   -0.005177   -0.014845   -0.005599   -0.014845
   -0.047813   -0.014845   -1.973273   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845

   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845   -0.005177   -0.014845   -0.005599
   -0.014845   -0.047813   -0.014845   -1.973273   -0.014845   -0.006029   -0.014845   -0.004238

   -0.005599   -0.014845   -0.005177   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845
   -0.004238   -0.014845   -0.006029   -0.014845   -1.973273   -0.014845   -0.047813   -0.014845

   -0.014845   -0.005599   -0.014845   -0.005177   -0.014845   -0.004238   -0.014845   -0.006029
   -0.014845   -0.004238   -0.014845   -0.006029   -0.014845   -1.973273   -0.014845   -0.047813

   -0.005177   -0.014845   -0.005599   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845
   -0.006029   -0.014845   -0.004238   -0.014845   -0.047813   -0.014845   -1.973273   -0.014845

   -0.014845   -0.005177   -0.014845   -0.005599   -0.014845   -0.006029   -0.014845   -0.004238
   -0.014845   -0.006029   -0.014845   -0.004238   -0.014845   -0.047813   -0.014845   -1.973273


        chi^{-1} matrix :
   -6.197786   -0.006290   -0.024304   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290
   -0.002154   -0.006290   -0.000402   -0.006290   -0.002166   -0.006290   -0.000091   -0.006290

   -0.006290   -6.197786   -0.006290   -0.024304   -0.006290   -0.002154   -0.006290   -0.000402
   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290   -0.002166   -0.006290   -0.000091

   -0.024304   -0.006290   -6.197786   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290
   -0.000402   -0.006290   -0.002154   -0.006290   -0.000091   -0.006290   -0.002166   -0.006290

   -0.006290   -0.024304   -0.006290   -6.197786   -0.006290   -0.000402   -0.006290   -0.002154
   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290   -0.000091   -0.006290   -0.002166

   -0.002154   -0.006290   -0.000402   -0.006290   -6.197786   -0.006290   -0.024304   -0.006290
   -0.002166   -0.006290   -0.000091   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290

   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290   -6.197786   -0.006290   -0.024304
   -0.006290   -0.002166   -0.006290   -0.000091   -0.006290   -0.002154   -0.006290   -0.000402

   -0.000402   -0.006290   -0.002154   -0.006290   -0.024304   -0.006290   -6.197786   -0.006290
   -0.000091   -0.006290   -0.002166   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290

   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290   -0.024304   -0.006290   -6.197786
   -0.006290   -0.000091   -0.006290   -0.002166   -0.006290   -0.000402   -0.006290   -0.002154

   -0.002154   -0.006290   -0.000402   -0.006290   -0.002166   -0.006290   -0.000091   -0.006290
   -6.197786   -0.006290   -0.024304   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290

   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290   -0.002166   -0.006290   -0.000091
   -0.006290   -6.197786   -0.006290   -0.024304   -0.006290   -0.002154   -0.006290   -0.000402

   -0.000402   -0.006290   -0.002154   -0.006290   -0.000091   -0.006290   -0.002166   -0.006290
   -0.024304   -0.006290   -6.197786   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290

   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290   -0.000091   -0.006290   -0.002166
   -0.006290   -0.024304   -0.006290   -6.197786   -0.006290   -0.000402   -0.006290   -0.002154

