         chi0 :
    -0.507294536874195    0.000000000000000
     0.003536132480969    0.000000000000000
     0.012062804279196    0.000000000000000
     0.003536132480969    0.000000000000000
     0.000797481008322    0.000000000000000
     0.003536132205166    0.000000000000000
     0.001280353119662    0.000000000000000
     0.003536132205166    0.000000000000000
     0.000797481008322    0.000000000000000
     0.003536132205166    0.000000000000000
     0.001280353119662    0.000000000000000
     0.003536132205166    0.000000000000000
     0.001158393334891    0.000000000000000
     0.003536132480969    0.000000000000000
     0.001045388184433    0.000000000000000
     0.003536132480969    0.000000000000000

         chi :
    -0.161351790242690    0.000000000000000
     0.000162368480720    0.000000000000000
     0.000631396105322    0.000000000000000
     0.000162368480720    0.000000000000000
     0.000054642048840    0.000000000000000
     0.000161835755612    0.000000000000000
     0.000008704107360    0.000000000000000
     0.000161835755612    0.000000000000000
     0.000054642048840    0.000000000000000
     0.000161835755612    0.000000000000000
     0.000008704107360    0.000000000000000
     0.000161835755612    0.000000000000000
     0.000055013165753    0.000000000000000
     0.000162368480720    0.000000000000000
     0.000000593469762    0.000000000000000
     0.000162368480720    0.000000000000000
