         chi0 :
    -0.508014409603712    0.003178411659986
     0.003178411906916   -0.508014409603733
     0.006343374026363    0.003178411659986
     0.000502175980398    0.006343374026359
     0.006343374026363    0.000502175932657
     0.003178411906916    0.006343374026360
     0.000338920374015    0.003178411906916
     0.000027678421629    0.000338920374018
     0.000350983476452    0.003178411906916
     0.000090209041009    0.000350983476452
     0.000350983476452    0.000502175980398
     0.000027678421629    0.000350983476452
     0.000338920374015    0.000027678421629
     0.003178411659986    0.000338920374018
     0.000350983476452    0.000027678421629
     0.000502175932657    0.000350983476452
     0.000350983476452    0.000090209041009
     0.003178411659986    0.000350983476452
     0.000338920374015    0.003178411906916
     0.000027678421629    0.000338920374018
     0.000350983476452    0.003178411906916
     0.000090209041009    0.000350983476452
     0.000350983476452    0.000502175980398
     0.000027678421629    0.000350983476452
     0.000290159559709    0.003178411659986
     0.000109272593601    0.000229057678979
     0.000172127599936    0.003178411659986
     0.000052251926557    0.000141221136614
     0.000172127599936    0.000502175932657
     0.000109272593601    0.000141221136614
     0.000229057678972    0.000027678421629
     0.000027678421629    0.000290159559725
     0.000141221136623    0.000027678421629
     0.000090209041009    0.000172127599935
     0.000141221136623    0.000090209041009
     0.000027678421629    0.000172127599935
     0.000338920374016    0.000027678421629
     0.003178411659986    0.000338920374019
     0.000350983476452    0.000027678421629
     0.000502175932657    0.000350983476452
     0.000350983476452    0.000090209041009
     0.003178411659986    0.000350983476452
     0.000229057678972    0.000027678421629
     0.000027678421629    0.000290159559725
     0.000141221136623    0.000027678421629
     0.000090209041009    0.000172127599935
     0.000141221136623    0.000090209041009
     0.000027678421629    0.000172127599935
     0.000290159559709    0.000109272593601
     0.003178411906916    0.000229057678979
     0.000172127599936    0.000109272593601
     0.000502175980398    0.000141221136614
     0.000172127599936    0.000052251926557
     0.003178411906916    0.000141221136614

         chi :
    -0.161428346140903    0.000154963990118
     0.000154325020328   -0.161427013397074
     0.000354630325076    0.000154963990118
     0.000018825491252    0.000354298208279
     0.000354630325076    0.000017735540156
     0.000154325020328    0.000354298208279
     0.000026294737378    0.000154606190258
    -0.000000645878816    0.000025627231648
     0.000002464216985    0.000154606190258
     0.000001130816847    0.000002629814292
     0.000002464216985    0.000019510827572
    -0.000000645878816    0.000002629814292
     0.000026294737378   -0.000000988572914
     0.000154902534529    0.000025627231648
     0.000002464216985   -0.000000988572914
     0.000018482649727    0.000002629814292
     0.000002464216985    0.000001192382273
     0.000154902534529    0.000002629814292
     0.000026294737378    0.000154606190258
    -0.000000645878816    0.000025627231648
     0.000002464216985    0.000154606190258
     0.000001130816847    0.000002629814292
     0.000002464216985    0.000019510827572
    -0.000000645878816    0.000002629814292
     0.000010960665109    0.000154963990118
    -0.000005719895281    0.000014023064297
     0.000002679996800    0.000154963990118
    -0.000002626031294   -0.000001314550745
     0.000002679996800    0.000017735540156
    -0.000005719895281   -0.000001314550745
     0.000013023712110   -0.000000988572914
    -0.000000645878816    0.000010630000217
    -0.000000647768400   -0.000000988572914
     0.000001130816847    0.000003181612958
    -0.000000647768400    0.000001192382273
    -0.000000645878816    0.000003181612958
     0.000026294737378   -0.000000988572914
     0.000154902534529    0.000025627231648
     0.000002464216985   -0.000000988572914
     0.000018482649727    0.000002629814292
     0.000002464216985    0.000001192382273
     0.000154902534529    0.000002629814292
     0.000013023712110   -0.000000988572914
    -0.000000645878816    0.000010630000217
    -0.000000647768400   -0.000000988572914
     0.000001130816847    0.000003181612958
    -0.000000647768400    0.000001192382273
    -0.000000645878816    0.000003181612958
     0.000010960665109   -0.000005034369192
     0.000154325020328    0.000014023064297
     0.000002679996800   -0.000005034369192
     0.000018825491252   -0.000001314550745
     0.000002679996800   -0.000002748741475
     0.000154325020328   -0.000001314550745
