      row  column  chi0 matrix elements
       1     1      -0.407642483910096
       2     1       0.001714606488014
       3     1       0.004260449115440
       4     1       0.000431863807485
       5     1       0.004260449115440
       6     1       0.001714606488014
       7     1       0.000308391225725
       8     1       0.000024925844386
       9     1       0.000281260646889
      10     1       0.000073741411025
      11     1       0.000281260646890
      12     1       0.000024925844386
      13     1       0.000308391225725
      14     1       0.001714606358128
      15     1       0.000281260646890
      16     1       0.000431863779755
      17     1       0.000281260646889
      18     1       0.001714606358128
      19     1       0.000308391225725
      20     1       0.000024925844386
      21     1       0.000281260646889
      22     1       0.000073741411025
      23     1       0.000281260646890
      24     1       0.000024925844386
      25     1       0.000238685243458
      26     1       0.000091253943190
      27     1       0.000128681302529
      28     1       0.000043550691277
      29     1       0.000128681302529
      30     1       0.000091253943190
      31     1       0.000173648266251
      32     1       0.000024925844386
      33     1       0.000111855633184
      34     1       0.000073741411025
      35     1       0.000111855633184
      36     1       0.000024925844386
      37     1       0.000308391225725
      38     1       0.001714606358128
      39     1       0.000281260646890
      40     1       0.000431863779755
      41     1       0.000281260646889
      42     1       0.001714606358128
      43     1       0.000173648266251
      44     1       0.000024925844386
      45     1       0.000111855633184
      46     1       0.000073741411025
      47     1       0.000111855633184
      48     1       0.000024925844386
      49     1       0.000238685243458
      50     1       0.001714606488014
      51     1       0.000128681302529
      52     1       0.000431863807485
      53     1       0.000128681302529
      54     1       0.001714606488014

      row  column   chi matrix elements
       1     1      -0.123027851936690
       2     1      -0.000173188999682
       3     1       0.000112007394279
       4     1      -0.000001786475994
       5     1       0.000112007394279
       6     1      -0.000173188999682
       7     1       0.000043768725451
       8     1       0.000000535917432
       9     1      -0.000001734442219
      10     1      -0.000000607421709
      11     1      -0.000001734442219
      12     1       0.000000535917432
      13     1       0.000043768725451
      14     1      -0.000172697978575
      15     1      -0.000001734442219
      16     1      -0.000002035287611
      17     1      -0.000001734442219
      18     1      -0.000172697978575
      19     1       0.000043768725451
      20     1       0.000000535917432
      21     1      -0.000001734442219
      22     1      -0.000000607421709
      23     1      -0.000001734442219
      24     1       0.000000535917432
      25     1      -0.000000647775418
      26     1      -0.000005968947959
      27     1      -0.000001934334554
      28     1      -0.000002671770065
      29     1      -0.000001934334554
      30     1      -0.000005968947959
      31     1       0.000006913173233
      32     1       0.000000535917432
      33     1      -0.000004700471082
      34     1      -0.000000607421709
      35     1      -0.000004700471081
      36     1       0.000000535917432
      37     1       0.000043768725451
      38     1      -0.000172697978575
      39     1      -0.000001734442219
      40     1      -0.000002035287611
      41     1      -0.000001734442219
      42     1      -0.000172697978575
      43     1       0.000006913173233
      44     1       0.000000535917432
      45     1      -0.000004700471082
      46     1      -0.000000607421709
      47     1      -0.000004700471082
      48     1       0.000000535917432
      49     1      -0.000000647775418
      50     1      -0.000173188999682
      51     1      -0.000001934334554
      52     1      -0.000001786475994
      53     1      -0.000001934334554
      54     1      -0.000173188999682

