      row  column  chi0 matrix elements
       1     1      -0.407047475728192
       2     1       0.002020592265807
       3     1       0.008008985013003
       4     1       0.002020592265807
       5     1       0.000714966633092
       6     1       0.002020592118167
       7     1       0.001022923811385
       8     1       0.002020592118167
       9     1       0.000714966633092
      10     1       0.002020592118167
      11     1       0.001022923811385
      12     1       0.002020592118167
      13     1       0.000930199167420
      14     1       0.002020592265807
      15     1       0.000781389819884
      16     1       0.002020592265807

      row  column   chi matrix elements
       1     1      -0.123048575200387
       2     1      -0.000175593891264
       3     1       0.000071029486296
       4     1      -0.000175593891264
       5     1       0.000120428180335
       6     1      -0.000175391985037
       7     1       0.000029414383349
       8     1      -0.000175391985037
       9     1       0.000120428180335
      10     1      -0.000175391985037
      11     1       0.000029414383349
      12     1      -0.000175391985037
      13     1       0.000038770161470
      14     1      -0.000175593891264
      15     1      -0.000017555730099
      16     1      -0.000175593891264

