         chi0 :
    -0.407642483910096    0.001714606358128
     0.001714606488014   -0.407642483910108
     0.004260449115440    0.001714606358128
     0.000431863807485    0.004260449115439
     0.004260449115440    0.000431863779755
     0.001714606488014    0.004260449115439
     0.000308391225725    0.001714606488014
     0.000024925844386    0.000308391225728
     0.000281260646889    0.001714606488014
     0.000073741411025    0.000281260646889
     0.000281260646890    0.000431863807485
     0.000024925844386    0.000281260646889
     0.000308391225725    0.000024925844386
     0.001714606358128    0.000308391225729
     0.000281260646890    0.000024925844386
     0.000431863779755    0.000281260646889
     0.000281260646889    0.000073741411025
     0.001714606358128    0.000281260646889
     0.000308391225725    0.001714606488014
     0.000024925844386    0.000308391225728
     0.000281260646889    0.001714606488014
     0.000073741411025    0.000281260646889
     0.000281260646890    0.000431863807485
     0.000024925844386    0.000281260646889
     0.000238685243458    0.001714606358128
     0.000091253943190    0.000173648266258
     0.000128681302529    0.001714606358128
     0.000043550691277    0.000111855633177
     0.000128681302529    0.000431863779755
     0.000091253943190    0.000111855633177
     0.000173648266251    0.000024925844386
     0.000024925844386    0.000238685243472
     0.000111855633184    0.000024925844386
     0.000073741411025    0.000128681302529
     0.000111855633184    0.000073741411025
     0.000024925844386    0.000128681302529
     0.000308391225725    0.000024925844386
     0.001714606358128    0.000308391225729
     0.000281260646890    0.000024925844386
     0.000431863779755    0.000281260646889
     0.000281260646889    0.000073741411025
     0.001714606358128    0.000281260646889
     0.000173648266251    0.000024925844386
     0.000024925844386    0.000238685243472
     0.000111855633184    0.000024925844386
     0.000073741411025    0.000128681302529
     0.000111855633184    0.000073741411025
     0.000024925844386    0.000128681302529
     0.000238685243458    0.000091253943190
     0.001714606488014    0.000173648266258
     0.000128681302529    0.000091253943190
     0.000431863807485    0.000111855633177
     0.000128681302529    0.000043550691277
     0.001714606488014    0.000111855633177

         chi :
    -0.123027851936690   -0.000172651401467
    -0.000173188999682   -0.123026936069191
     0.000112007394279   -0.000172651401467
    -0.000001786475994    0.000111827349003
     0.000112007394279   -0.000002628721107
    -0.000173188999682    0.000111827349003
     0.000043768725451   -0.000172962216381
     0.000000535917432    0.000043310840954
    -0.000001734442219   -0.000172962216381
    -0.000000607421709   -0.000001644438186
    -0.000001734442219   -0.000001239680842
     0.000000535917432   -0.000001644438186
     0.000043768725451    0.000000262529927
    -0.000172697978575    0.000043310840954
    -0.000001734442219    0.000000262529927
    -0.000002035287611   -0.000001644438186
    -0.000001734442219   -0.000000560848777
    -0.000172697978575   -0.000001644438186
     0.000043768725451   -0.000172962216381
     0.000000535917432    0.000043310840954
    -0.000001734442219   -0.000172962216381
    -0.000000607421709   -0.000001644438186
    -0.000001734442219   -0.000001239680842
     0.000000535917432   -0.000001644438186
    -0.000000647775418   -0.000172651401467
    -0.000005968947959    0.000007551150713
    -0.000001934334554   -0.000172651401467
    -0.000002671770065   -0.000005158387030
    -0.000001934334554   -0.000002628721107
    -0.000005968947959   -0.000005158387030
     0.000006913173233    0.000000262529927
     0.000000535917432   -0.000000827834220
    -0.000004700471082    0.000000262529927
    -0.000000607421709   -0.000001566422772
    -0.000004700471081   -0.000000560848777
     0.000000535917432   -0.000001566422772
     0.000043768725451    0.000000262529927
    -0.000172697978575    0.000043310840954
    -0.000001734442219    0.000000262529927
    -0.000002035287611   -0.000001644438186
    -0.000001734442219   -0.000000560848777
    -0.000172697978575   -0.000001644438186
     0.000006913173233    0.000000262529927
     0.000000535917432   -0.000000827834220
    -0.000004700471082    0.000000262529927
    -0.000000607421709   -0.000001566422772
    -0.000004700471082   -0.000000560848777
     0.000000535917432   -0.000001566422772
    -0.000000647775418   -0.000005422096301
    -0.000173188999682    0.000007551150713
    -0.000001934334554   -0.000005422096301
    -0.000001786475994   -0.000005158387030
    -0.000001934334554   -0.000002764872865
    -0.000173188999682   -0.000005158387030
