      row  column  chi0 matrix elements
       1     1      -0.815136497296625
       2     1       0.027948956269567
       3     1       0.082403875854370
       4     1       0.027948956269567
       5     1       0.020612429876628
       6     1       0.027948957682138
       7     1       0.015694001981176
       8     1       0.027948957682138
       9     1       0.020612429876628
      10     1       0.027948957682138
      11     1       0.015694001981176
      12     1       0.027948957682138
      13     1      -0.006616257645417
      14     1       0.027948956269567
      15     1      -0.001089732910167
      16     1       0.027948956269567

      row  column   chi matrix elements
       1     1      -0.134589843018296
       2     1      -0.000019360853089
       3     1       0.000287024932703
       4     1      -0.000019360853089
       5     1       0.000013802338351
       6     1      -0.000017073188193
       7     1       0.000067227050690
       8     1      -0.000017073188193
       9     1       0.000013802338351
      10     1      -0.000017073188193
      11     1       0.000067227050690
      12     1      -0.000017073188193
      13     1       0.000032640431871
      14     1      -0.000019360853089
      15     1       0.000045638789140
      16     1      -0.000019360853089

