         chi0 :
    -0.815136497296625    0.000000000000000
     0.027948956269567    0.000000000000000
     0.082403875854370    0.000000000000000
     0.027948956269567    0.000000000000000
     0.020612429876628    0.000000000000000
     0.027948957682138    0.000000000000000
     0.015694001981176    0.000000000000000
     0.027948957682138    0.000000000000000
     0.020612429876628    0.000000000000000
     0.027948957682138    0.000000000000000
     0.015694001981176    0.000000000000000
     0.027948957682138    0.000000000000000
    -0.006616257645417    0.000000000000000
     0.027948956269567    0.000000000000000
    -0.001089732910167    0.000000000000000
     0.027948956269567    0.000000000000000

         chi :
    -0.134589843018296    0.000000000000000
    -0.000019360853089    0.000000000000000
     0.000287024932703    0.000000000000000
    -0.000019360853089    0.000000000000000
     0.000013802338351    0.000000000000000
    -0.000017073188193    0.000000000000000
     0.000067227050690    0.000000000000000
    -0.000017073188193    0.000000000000000
     0.000013802338351    0.000000000000000
    -0.000017073188193    0.000000000000000
     0.000067227050690    0.000000000000000
    -0.000017073188193    0.000000000000000
     0.000032640431871    0.000000000000000
    -0.000019360853089    0.000000000000000
     0.000045638789140    0.000000000000000
    -0.000019360853089    0.000000000000000
