      row  column  chi0 matrix elements
       1     1      -0.508014409603712
       2     1       0.003178411906916
       3     1       0.006343374026363
       4     1       0.000502175980398
       5     1       0.006343374026363
       6     1       0.003178411906916
       7     1       0.000338920374015
       8     1       0.000027678421629
       9     1       0.000350983476452
      10     1       0.000090209041009
      11     1       0.000350983476452
      12     1       0.000027678421629
      13     1       0.000338920374015
      14     1       0.003178411659986
      15     1       0.000350983476452
      16     1       0.000502175932657
      17     1       0.000350983476452
      18     1       0.003178411659986
      19     1       0.000338920374015
      20     1       0.000027678421629
      21     1       0.000350983476452
      22     1       0.000090209041009
      23     1       0.000350983476452
      24     1       0.000027678421629
      25     1       0.000290159559709
      26     1       0.000109272593601
      27     1       0.000172127599936
      28     1       0.000052251926557
      29     1       0.000172127599936
      30     1       0.000109272593601
      31     1       0.000229057678972
      32     1       0.000027678421629
      33     1       0.000141221136623
      34     1       0.000090209041009
      35     1       0.000141221136623
      36     1       0.000027678421629
      37     1       0.000338920374016
      38     1       0.003178411659986
      39     1       0.000350983476452
      40     1       0.000502175932657
      41     1       0.000350983476452
      42     1       0.003178411659986
      43     1       0.000229057678972
      44     1       0.000027678421629
      45     1       0.000141221136623
      46     1       0.000090209041009
      47     1       0.000141221136623
      48     1       0.000027678421629
      49     1       0.000290159559709
      50     1       0.003178411906916
      51     1       0.000172127599936
      52     1       0.000502175980398
      53     1       0.000172127599936
      54     1       0.003178411906916

      row  column   chi matrix elements
       1     1      -0.161428346140903
       2     1       0.000154325020328
       3     1       0.000354630325076
       4     1       0.000018825491252
       5     1       0.000354630325076
       6     1       0.000154325020328
       7     1       0.000026294737378
       8     1      -0.000000645878816
       9     1       0.000002464216985
      10     1       0.000001130816847
      11     1       0.000002464216985
      12     1      -0.000000645878816
      13     1       0.000026294737378
      14     1       0.000154902534529
      15     1       0.000002464216985
      16     1       0.000018482649727
      17     1       0.000002464216985
      18     1       0.000154902534529
      19     1       0.000026294737378
      20     1      -0.000000645878816
      21     1       0.000002464216985
      22     1       0.000001130816847
      23     1       0.000002464216985
      24     1      -0.000000645878816
      25     1       0.000010960665109
      26     1      -0.000005719895281
      27     1       0.000002679996800
      28     1      -0.000002626031294
      29     1       0.000002679996800
      30     1      -0.000005719895281
      31     1       0.000013023712110
      32     1      -0.000000645878816
      33     1      -0.000000647768400
      34     1       0.000001130816847
      35     1      -0.000000647768400
      36     1      -0.000000645878816
      37     1       0.000026294737378
      38     1       0.000154902534529
      39     1       0.000002464216985
      40     1       0.000018482649727
      41     1       0.000002464216985
      42     1       0.000154902534529
      43     1       0.000013023712110
      44     1      -0.000000645878816
      45     1      -0.000000647768400
      46     1       0.000001130816847
      47     1      -0.000000647768400
      48     1      -0.000000645878816
      49     1       0.000010960665109
      50     1       0.000154325020328
      51     1       0.000002679996800
      52     1       0.000018825491252
      53     1       0.000002679996800
      54     1       0.000154325020328

