
  =-------------------------------------------------------------------------------=

                                 Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  manifold  Hubbard U (eV)
         1        1   Ti       1      1         Ti         3d       5.6741
         2        1   Ti       1      1         Ti         3d       5.6741

  =-------------------------------------------------------------------------------=


          chi0 matrix :
   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023
    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023
    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010
    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023
    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023
    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010
    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697
    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010
    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010
    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697

    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988
    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254
    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004
    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254
    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254
    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098
    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002
    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098
    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004
    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002
    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009
    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002
    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254
    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098
    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002
    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098

    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232
    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021
    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021
    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232
    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021
    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007
    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007
    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021
    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021
    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007
    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007
    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021
    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232
    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021
    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021
    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232

    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585
    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047
    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015
    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047
    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047
    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036
    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005
    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036
    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015
    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005
    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003
    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005
    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047
    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036
    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005
    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036

    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232
    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021
    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021
    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232
    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021
    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007
    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007
    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021
    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021
    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007
    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007
    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021
    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232
    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021
    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021
    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232

    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988
    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254
    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004
    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254
    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254
    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098
    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002
    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098
    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004
    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002
    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009
    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002
    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254
    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098
    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002
    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098

    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697
    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010
    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010
    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697
    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010
    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023
    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023
    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010
    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010
    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023
    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023
    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010
    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697
    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010
    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010
    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697

    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684
    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305
    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002
    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305
    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305
    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196
    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001
    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196
    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002
    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001
    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016
    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001
    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305
    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196
    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001
    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196

    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697
   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023
    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023
    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010
    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023
    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023
    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697
    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697
    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010
    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010

    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254
    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988
    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254
    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004
    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098
    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254
    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098
    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002
    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002
    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004
    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002
    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009
    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098
    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254
    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098
    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002

    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232
    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232
    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021
    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021
    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021
    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021
    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007
    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007
    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021
    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021
    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007
    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007
    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036    0.000232
    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232
    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021
    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021

    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047
    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232    0.000585
    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047
    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015
    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036
    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232    0.000047
    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232    0.000036
    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005
    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005
    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021    0.000015
    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021    0.000005
    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007    0.000003
    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007    0.000036
    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021    0.000047
    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021    0.000036
    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007    0.000005

    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232
    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988    0.000232
    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021
    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021
    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021
    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254    0.000021
    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098    0.000007
    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007
    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021
    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004    0.000021
    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002    0.000007
    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009    0.000007
    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098    0.000232
    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254    0.000232
    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098    0.000021
    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002    0.000021

    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254
    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697    0.003988
    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254
    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004
    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098
    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697    0.000254
    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697    0.000098
    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002
    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002
    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010    0.000004
    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010    0.000002
    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023    0.000009
    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023    0.000098
    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010    0.000254
    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010    0.000098
    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023    0.000002

    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697
    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684    0.001697
    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010
    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010
    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010
    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305    0.000010
    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196    0.000023
    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023
    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010
    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002    0.000010
    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001    0.000023
    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016    0.000023
    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196    0.001697
    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305    0.001697
    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196    0.000010
    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001    0.000010

    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305
    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697   -0.407684
    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305
    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002
    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196
    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697    0.000305
    0.001697    0.000098    0.000232    0.000036    0.000232    0.000098    0.001697    0.000196
    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001
    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001
    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010    0.000002
    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010    0.000001
    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023    0.000016
    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023    0.000196
    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010    0.000305
    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010    0.000196
    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023    0.000001

    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
    0.000305    0.001697    0.000254    0.000232    0.000047    0.000232    0.000254    0.001697
   -0.407684    0.001697    0.003988    0.000232    0.000585    0.000232    0.003988    0.001697
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000001    0.000023    0.000002    0.000007    0.000005    0.000007    0.000002    0.000023
    0.000196    0.000010    0.000098    0.000021    0.000036    0.000021    0.000098    0.000010
    0.000305    0.000010    0.000254    0.000021    0.000047    0.000021    0.000254    0.000010
    0.000196    0.000023    0.000098    0.000007    0.000036    0.000007    0.000098    0.000023
    0.000016    0.000023    0.000009    0.000007    0.000003    0.000007    0.000009    0.000023
    0.000001    0.000010    0.000002    0.000021    0.000005    0.000021    0.000002    0.000010
    0.000002    0.000010    0.000004    0.000021    0.000015    0.000021    0.000004    0.000010
