      row  column  chi0 matrix elements
       1     1      -0.861356164997550
       2     1       0.034565235028666
       3     1       0.103481327771388
       4     1       0.034565235028666
       5     1       0.025511362350502
       6     1       0.034565235933283
       7     1       0.019022251954161
       8     1       0.034565235933283
       9     1       0.025511362350502
      10     1       0.034565235933283
      11     1       0.019022251954161
      12     1       0.034565235933283
      13     1      -0.008470221056053
      14     1       0.034565235028666
      15     1      -0.001762457402888
      16     1       0.034565235028666

      row  column   chi matrix elements
       1     1      -0.117872586166489
       2     1       0.000318003496079
       3     1       0.002066043890798
       4     1       0.000318003496079
       5     1       0.000142497567315
       6     1       0.000318476154392
       7     1       0.000039125482291
       8     1       0.000318476154392
       9     1       0.000142497567315
      10     1       0.000318476154392
      11     1       0.000039125482291
      12     1       0.000318476154392
      13     1      -0.000237638029709
      14     1       0.000318003496079
      15     1       0.000052560330819
      16     1       0.000318003496079

